                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4486,                 5.8488,                 1.2942,                0.00117,                0.00338,                0.00015,                 0.0001,                    nan,                    nan,                    nan,                0.00054,                0.00054,                0.00054
                      2,                 1.5284,                  2.296,                 1.2628,                0.00117,                0.00338,                0.00015,                 0.0001,                    nan,                    nan,                    nan,              0.0010782,              0.0010782,              0.0010782
                      3,                 1.6593,                 1.5635,                 1.4352,                0.00117,                0.00338,                0.00015,                 0.0001,                    nan,                    nan,                    nan,              0.0015943,              0.0015943,              0.0015943
                      4,                 1.6448,                  1.438,                 1.3904,                0.00117,                0.00338,                0.00015,                 0.0001,                    nan,                    nan,                    nan,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.6105,                 1.3754,                 1.3925,                0.00117,                0.00338,                0.00015,                 0.0001,                    nan,                    nan,                    nan,              0.0018416,              0.0018416,              0.0018416
                      6,                  1.591,                  1.261,                  1.387,                0.00117,                0.00338,                0.00015,                 0.0001,                    nan,                    nan,                    nan,               0.001802,               0.001802,               0.001802
                      7,                  1.534,                 1.2617,                 1.3645,                0.00117,                0.00338,                0.00015,                 0.0001,                    nan,                    nan,                    nan,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.5459,                 1.2508,                 1.3829,                0.00117,                0.00338,                0.00015,                 0.0001,                    nan,                    nan,                    nan,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.5098,                 1.1327,                 1.3447,                0.00117,                0.00338,                0.00015,                 0.0001,                    nan,                    nan,                    nan,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.4788,                 1.0886,                 1.3085,                0.00117,                0.00338,                0.00015,                 0.0001,                    nan,                    nan,                    nan,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.4493,                 1.0154,                 1.2873,                0.00117,                0.00338,                0.00015,                 0.0001,                    nan,                    nan,                    nan,               0.001604,               0.001604,               0.001604
                     12,                 1.4294,                 1.0008,                 1.2929,                0.00117,                0.00338,                0.00015,                 0.0001,                    nan,                    nan,                    nan,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.5399,                  1.104,                 1.3973,                0.00117,                0.00338,                0.00015,                 0.0001,                    nan,                    nan,                    nan,              0.0015248,              0.0015248,              0.0015248
